wavelength      flux_density      ERROR      cl1      cl2      cl3
     10.72127     0.002142     0.000222          2.0            0            0
     10.78175     0.002701     0.000223          2.0            0            0
     10.84224     0.002450     0.000361          2.0            0            0
     10.90272     0.002316     0.000365          2.0            0            0
     10.96320     0.002404     0.000317          2.0            0            0
     11.02369     0.002079     0.000233          2.0            0            0
     11.08417     0.002602     0.000285          2.0            0            0
     11.14465     0.002580     0.000286          2.0            0            0
     11.20514     0.002299     0.000245          2.0            0            0
     11.26562     0.002990     0.000249          2.0            0            0
     11.32611     0.002596     0.000289          2.0            0            0
     11.38659     0.002929     0.000262          2.0            0            0
     11.44707     0.003107     0.000229          2.0            0            0
     11.50756     0.003701     0.000239          2.0            0            0
     11.56804     0.004751     0.000278          2.0            0            0
     11.62852     0.005451     0.000321          2.0            0            0
     11.68901     0.005680     0.000278          2.0            0            0
     11.74949     0.007808     0.000274          2.0            0            0
     11.80997     0.011635     0.000249          2.0            0            0
     11.87046     0.014290     0.000272          2.0            0            0
     11.93094     0.013464     0.000345          2.0            0            0
     11.99143     0.010798     0.000460          2.0            0            0
     12.05191     0.007660     0.000424          2.0            0            0
     12.11239     0.006682     0.000404          2.0            0            0
     12.17288     0.006055     0.000364          2.0            0            0
     12.23336     0.005189     0.000313          2.0            0            0
     12.29384     0.005059     0.000283          2.0            0            0
     12.35433     0.005793     0.000413          2.0            0            0
     12.41481     0.005031     0.000483          2.0            0            0
     12.47529     0.005056     0.000342          2.0            0            0
     12.53578     0.004943     0.000326          2.0            0            0
     12.59626     0.005355     0.000351          2.0            0            0
     12.65675     0.005540     0.000319          2.0            0            0
     12.71723     0.005841     0.000320          2.0            0            0
     12.77771     0.006468     0.000312          2.0            0            0
     12.83820     0.005662     0.000341          2.0            0            0
     12.89868     0.005741     0.000323          2.0            0            0
     12.95916     0.006061     0.000392          2.0            0            0
     13.01965     0.006875     0.000356          2.0            0            0
     13.08013     0.006194     0.000353          2.0            0            0
     13.14061     0.005814     0.000362          2.0            0            0
     13.20110     0.006923     0.000344          2.0            0            0
     13.26158     0.008814     0.000632          2.0            0            0
     13.32206     0.006869     0.000717          2.0            0            0
     13.38255     0.008329     0.000374          2.0            0            0
     13.44303     0.009482     0.000474          2.0            0            0
     13.50352     0.010247     0.000476          2.0            0            0
     13.56400     0.007426     0.000394          2.0            0            0
     13.62448     0.006098     0.000296          2.0            0            0
     13.68497     0.005588     0.000365          2.0            0            0
     13.74545     0.005373     0.000581          2.0            0            0
     13.80593     0.004240     0.000546          2.0            0            0
     13.86642     0.004405     0.000556          2.0            0            0
     13.92690     0.004374     0.000539          2.0            0            0
     13.98738     0.005799     0.000581          2.0            0            0
     14.04787     0.005171     0.000493          2.0            0            0
     14.15403     0.007027     0.000755          3.0            0            0
     14.23871     0.007475     0.000570          3.0            0            0
     14.32338     0.007583     0.000438          3.0            0            0
     14.40806     0.006422     0.000363          3.0            0            0
     14.49274     0.005873     0.000395          3.0            0            0
     14.57741     0.005972     0.000468          3.0            0            0
     14.66209     0.005858     0.000444          3.0            0            0
     14.74677     0.004814     0.000574          3.0            0            0
     14.83145     0.005361     0.000428          3.0            0            0
     14.91612     0.005943     0.000576          3.0            0            0
     15.00080     0.004890     0.000760          3.0            0            0
     15.08548     0.005368     0.000475          3.0            0            0
     15.17015     0.006506     0.000667          3.0            0            0
     15.25483     0.005099     0.000586          3.0            0            0
     15.33951     0.004423     0.000398          3.0            0            0
     15.42418     0.004518     0.000447          3.0            0            0
     15.50886     0.005286     0.000385          3.0            0            0
     15.59354     0.005112     0.000376          3.0            0            0
     15.67821     0.004370     0.000373          3.0            0            0
     15.76289     0.004132     0.000455          3.0            0            0
     15.84757     0.004352     0.000525          3.0            0            0
     15.93224     0.005313     0.000526          3.0            0            0
     16.01692     0.005032     0.000648          3.0            0            0
     16.10160     0.003033     0.000637          3.0            0            0
     16.18628     0.005779     0.000613          3.0            0            0
     16.27095     0.006131     0.000581          3.0            0            0
     16.35563     0.006412     0.000627          3.0            0            0
     16.44031     0.007151     0.000517          3.0            0            0
     16.52498     0.006702     0.000524          3.0            0            0
     16.60966     0.005613     0.000544          3.0            0            0
     16.69434     0.005926     0.000523          3.0            0            0
     16.77901     0.006674     0.000583          3.0            0            0
     16.86369     0.007669     0.000565          3.0            0            0
     16.94837     0.007609     0.000582          3.0            0            0
     17.03304     0.006819     0.000656          3.0            0            0
     17.11772     0.006926     0.000596          3.0            0            0
     17.20240     0.008145     0.000648          3.0            0            0
     17.28707     0.011536     0.000756          3.0            0            0
     17.37175     0.013214     0.000761          3.0            0            0
     17.45643     0.011010     0.000654          3.0            0            0
     17.54111     0.010750     0.000487          3.0            0            0
     17.62578     0.010439     0.000554          3.0            0            0
     17.71046     0.010759     0.000593          3.0            0            0
     17.79514     0.010765     0.000574          3.0            0            0
     17.87981     0.011549     0.000608          3.0            0            0
     17.96449     0.012997     0.000746          3.0            0            0
     18.04917     0.015459     0.000716          3.0            0            0
     18.13384     0.012455     0.000792          3.0            0            0
     18.21852     0.010444     0.001250          3.0            0            0
     18.30320     0.013330     0.000920          3.0            0            0
     18.38787     0.011940     0.000994          3.0            0            0
     18.47255     0.009517     0.000775          3.0            0            0
     18.55723     0.009400     0.000816          3.0            0            0
     18.64190     0.010012     0.000946          3.0            0            0
     18.72658     0.009671     0.000756          3.0            0            0
     18.81126     0.009755     0.000804          3.0            0            0
     18.89594     0.008748     0.000971          3.0            0            0
     18.98061     0.009330     0.000781          3.0            0            0
     19.06529     0.009697     0.000893          3.0            0            0
     19.14997     0.009238     0.000936          3.0            0            0
     19.23464     0.009121     0.001111          3.0            0            0
     19.31932     0.007797     0.001064          3.0            0            0
     19.40400     0.012309     0.001392          3.0            0            0
     19.48867     0.011521     0.001294          3.0            0            0
     19.57335     0.013860     0.001255          3.0            0            0
     19.65803     0.011796     0.001028          3.0            0            0
     19.74270     0.011761     0.001844          3.0            0            0
     19.82738     0.013164     0.001443          3.0            0            0
     19.91206     0.011128     0.001107          3.0            0            0
     19.99673     0.009365     0.001032          3.0            0            0
     20.08141     0.009025     0.001108          3.0            0            0
     20.16609     0.008990     0.001090          3.0            0            0
     20.25077     0.006934     0.002498          3.5            0            0
     20.42012     0.007900     0.001902          3.5            0            0
     20.58947     0.008113     0.001543          3.5            0            0
     20.75883     0.010117     0.001727          3.5            0            0
     20.92818     0.010290     0.001964          3.5            0            0
     21.09753     0.008987     0.000617          4.0            0            0
     21.26689     0.008510     0.000752          4.0            0            0
     21.43624     0.008072     0.000832          4.0            0            0
     21.60560     0.008055     0.000769          4.0            0            0
     21.77495     0.010844     0.000723          4.0            0            0
     21.94430     0.011141     0.000697          4.0            0            0
     22.11366     0.009700     0.000769          4.0            0            0
     22.28301     0.010602     0.000643          4.0            0            0
     22.45236     0.011096     0.000528          4.0            0            0
     22.62172     0.011372     0.000752          4.0            0            0
     22.79107     0.010570     0.000652          4.0            0            0
     22.96043     0.010491     0.000596          4.0            0            0
     23.12978     0.011429     0.000571          4.0            0            0
     23.29913     0.013087     0.000704          4.0            0            0
     23.46849     0.011952     0.000593          4.0            0            0
     23.63784     0.011850     0.000585          4.0            0            0
     23.80719     0.013193     0.000670          4.0            0            0
     23.97655     0.014280     0.000715          4.0            0            0
     24.14590     0.014383     0.000651          4.0            0            0
     24.31526     0.014462     0.000698          4.0            0            0
     24.48461     0.013791     0.000583          4.0            0            0
     24.65396     0.014864     0.000691          4.0            0            0
     24.82332     0.015428     0.000751          4.0            0            0
     24.99267     0.015936     0.000759          4.0            0            0
     25.16202     0.015121     0.000765          4.0            0            0
     25.33138     0.016015     0.000740          4.0            0            0
     25.50073     0.016606     0.000621          4.0            0            0
     25.67009     0.015377     0.000693          4.0            0            0
     25.83944     0.016443     0.000819          4.0            0            0
     26.00879     0.016947     0.000855          4.0            0            0
     26.17815     0.016277     0.000785          4.0            0            0
     26.34750     0.015092     0.000692          4.0            0            0
